iter	MultiClass
0	1.022266285
1	0.9553584856
2	0.8971999516
3	0.8440244904
4	0.7987652658
5	0.7570860317
6	0.7204676663
7	0.6859864559
8	0.6538400857
9	0.6248059475
10	0.5982433027
11	0.5726232357
12	0.5493082586
13	0.5277787883
14	0.50787969
15	0.489066824
16	0.4729779609
17	0.4569005875
18	0.4424123477
19	0.4284651469
20	0.4159196264
21	0.4038167265
22	0.3926822399
23	0.3818706509
24	0.3715176562
25	0.3617637075
26	0.3525925698
27	0.3443251295
28	0.3367707947
29	0.3291136636
30	0.3217531515
31	0.3149097826
32	0.3085855594
33	0.3025497397
34	0.2975169545
35	0.2920362045
36	0.2869975069
37	0.2824589022
38	0.2779421993
39	0.2734947508
40	0.2694940874
41	0.2655462488
42	0.262099315
43	0.2589602022
44	0.255726778
45	0.2523613072
46	0.2492863738
47	0.2462391346
48	0.2433430885
49	0.2407604107
50	0.2381559295
51	0.2361202061
52	0.2337725683
53	0.2316819279
54	0.2297346698
55	0.2279299527
56	0.2261881181
57	0.2245668747
58	0.2228481909
59	0.221403406
60	0.2198937198
61	0.2183878981
62	0.2169674773
63	0.215591403
64	0.2142402691
65	0.2128593408
66	0.2117237264
67	0.2105479312
68	0.2092672118
69	0.2083223098
70	0.2073648892
71	0.2064492368
72	0.2054706184
73	0.2045327316
74	0.2035531667
75	0.202875656
76	0.2020236555
77	0.2012696808
78	0.2004419942
79	0.199733045
80	0.1990144209
81	0.1984153339
82	0.197803692
83	0.1971559596
84	0.1965576301
85	0.1961407262
86	0.1955656784
87	0.1950124199
88	0.1946017833
89	0.1940783684
90	0.1936560937
91	0.1932413035
92	0.1928703641
93	0.1924240495
94	0.1919854942
95	0.1915687811
96	0.1912578039
97	0.1908113104
98	0.1904530427
99	0.1900933295
100	0.1897894097
101	0.1894126845
102	0.1891473211
103	0.1888864395
104	0.1886058146
105	0.1882976901
106	0.1880787585
107	0.1878118738
108	0.1875624148
109	0.1872829021
110	0.187007196
111	0.1867473817
112	0.1864537828
113	0.1863098274
114	0.1861273561
115	0.1859747477
116	0.1857468011
117	0.1854313961
118	0.1851405634
119	0.1849661475
120	0.1847008257
121	0.184558785
122	0.1843882446
123	0.1841836154
124	0.1839590824
125	0.1837787445
126	0.1836199568
127	0.1834651613
128	0.1833418982
129	0.1831301727
130	0.1829475272
131	0.1827385647
132	0.1826076686
133	0.1824160997
134	0.1822745535
135	0.1820495922
136	0.1819199706
137	0.181747493
138	0.1816470594
139	0.1815128578
140	0.1813658779
141	0.1812529115
142	0.1811114922
143	0.1810197943
144	0.1808815354
145	0.180785886
146	0.180658898
147	0.1805276654
148	0.1804309988
149	0.1803445135
150	0.1802039124
151	0.180054323
152	0.1799528388
153	0.1798856849
154	0.1797811141
155	0.1796274236
156	0.1795195182
157	0.1794619486
158	0.1793852956
159	0.1793285196
160	0.1792384419
161	0.1791737412
162	0.1790746723
163	0.1789832691
164	0.1789293285
165	0.1788856149
166	0.1787862668
167	0.178715639
168	0.1786368761
169	0.1785580448
170	0.1784681006
171	0.1783766584
172	0.1782643302
173	0.1781799785
174	0.178128488
175	0.1780443941
176	0.1779860535
177	0.17792006
178	0.1778563055
179	0.177747996
180	0.1776755382
181	0.1776134341
182	0.1774787241
183	0.1774313094
184	0.1773053683
185	0.1772467717
186	0.1771842507
187	0.1771243786
188	0.1770121399
189	0.1769314498
190	0.1768364224
191	0.1768024977
192	0.1767579696
193	0.176710269
194	0.1766039017
195	0.1765356211
196	0.1764631682
197	0.1764369419
198	0.1763640745
199	0.1762876267
200	0.1762435409
201	0.1761779729
202	0.1760269951
203	0.1759839973
204	0.1759404062
205	0.1758498791
206	0.1757164362
207	0.1756718891
208	0.175583907
209	0.175528729
210	0.1754541535
211	0.1754208539
212	0.1753793898
213	0.175345225
214	0.1753065646
215	0.1752677322
216	0.1752140942
217	0.1751524652
218	0.1750850542
219	0.1750572419
220	0.1750196526
221	0.1749730696
222	0.1748800477
223	0.174829378
224	0.174773055
225	0.1747207001
226	0.1746699594
227	0.1746250277
228	0.1745874899
229	0.1745329964
230	0.1744866959
231	0.1744277577
232	0.1743476768
233	0.1743065005
234	0.1742752597
235	0.1742462775
236	0.1741970074
237	0.1741123096
238	0.174046968
239	0.173975592
240	0.1739228537
241	0.1738831304
242	0.1738271115
243	0.173770077
244	0.1737274926
245	0.1736806451
246	0.1736346841
247	0.1735920342
248	0.1735505371
249	0.1734597861
250	0.1734291313
251	0.173316128
252	0.1732681321
253	0.1732170009
254	0.173180979
255	0.1731240099
256	0.1731037418
257	0.173069775
258	0.1730282577
259	0.1729941834
260	0.1729511383
261	0.1728906652
262	0.1728600785
263	0.1727825826
264	0.1727420658
265	0.1726582133
266	0.1725873814
267	0.1725408951
268	0.1724932988
269	0.1724225641
270	0.1723704117
271	0.1723253472
272	0.1722874076
273	0.1722486417
274	0.1722160227
275	0.1721300199
276	0.1720821861
277	0.1720431161
278	0.1719924609
279	0.1719546041
280	0.1719007915
281	0.1718545667
282	0.1718035167
283	0.17176047
284	0.1717205675
285	0.1716627343
