iter	Passed	Remaining
0	30	18523
1	57	17240
2	81	16305
3	112	16731
4	137	16317
5	161	16030
6	186	15771
7	209	15521
8	235	15437
9	261	15404
10	287	15399
11	319	15663
12	349	15765
13	379	15889
14	409	15954
15	436	15926
16	466	15994
17	494	15998
18	527	16117
19	557	16169
20	585	16149
21	614	16157
22	642	16115
23	671	16124
24	701	16132
25	756	16690
26	788	16724
27	815	16664
28	842	16598
29	875	16627
30	905	16620
31	932	16544
32	956	16428
33	981	16342
34	1006	16253
35	1031	16155
36	1056	16082
37	1081	15995
38	1105	15896
39	1130	15832
40	1158	15795
41	1190	15816
42	1223	15854
43	1251	15818
44	1280	15793
45	1308	15752
46	1335	15713
47	1364	15687
48	1390	15638
49	1416	15581
50	1443	15535
51	1468	15475
52	1493	15414
53	1517	15342
54	1542	15289
55	1568	15236
56	1592	15166
57	1615	15097
58	1638	15023
59	1663	14970
60	1687	14907
61	1710	14846
62	1734	14786
63	1758	14731
64	1784	14685
65	1808	14630
66	1832	14581
67	1857	14534
68	1881	14476
69	1904	14421
70	1929	14374
71	1951	14314
72	1977	14277
73	2001	14229
74	2031	14219
75	2056	14176
76	2081	14136
77	2104	14083
78	2128	14039
79	2153	13997
80	2177	13952
81	2202	13912
82	2227	13877
83	2251	13830
84	2275	13784
85	2298	13736
86	2321	13690
87	2345	13646
88	2369	13601
89	2392	13555
90	2416	13515
91	2441	13480
92	2465	13441
93	2487	13391
94	2512	13356
95	2535	13308
96	2559	13271
97	2584	13237
98	2607	13193
99	2631	13159
100	2655	13122
101	2680	13087
102	2705	13054
103	2729	13017
104	2752	12974
105	2776	12938
106	2800	12905
107	2824	12867
108	2850	12838
109	2872	12796
110	2896	12759
111	2918	12715
112	2942	12680
113	2965	12640
114	2989	12606
115	3012	12569
116	3035	12529
117	3058	12493
118	3083	12461
119	3105	12423
120	3128	12385
121	3151	12346
122	3174	12312
123	3198	12279
124	3222	12247
125	3246	12212
126	3270	12178
127	3294	12146
128	3318	12115
129	3341	12081
130	3365	12050
131	3389	12018
132	3414	11990
133	3439	11960
134	3462	11926
135	3487	11899
136	3512	11869
137	3537	11841
138	3560	11809
139	3588	11789
140	3615	11769
141	3641	11743
142	3670	11728
143	3698	11710
144	3728	11698
145	3779	11752
146	3805	11727
147	3831	11701
148	3857	11675
149	3882	11648
150	3905	11613
151	3932	11589
152	3956	11560
153	3982	11533
154	4006	11501
155	4030	11471
156	4055	11443
157	4079	11411
158	4102	11379
159	4126	11348
160	4151	11320
161	4175	11289
162	4199	11259
163	4222	11226
164	4245	11191
165	4266	11153
166	4289	11122
167	4314	11094
168	4337	11062
169	4364	11038
170	4388	11009
